Value;tenure-l3;tenure-l2;tenure-l1
400;Sem informação;Sem informação;Sem informação
1;TI homologada_regularizada;TI;TI
2;TI outras;TI;TI
3;UCPI Federal;UCPI Federal;UC
4;UCPI Estadual;UCPI Estadual;UC
5;UCUS Federal;UCUS Federal;UC
6;UCUS Estadual/Municipal;UCUS Estadual/Municipal;UC
7;Área militar;Área militar;Área militar
8;Quilombos federal;Quilombos federal;Quilombo
9;Quilombos estadual;Quilombos estadual;Quilombo
10;Assentamento Federal;Assentamento Federal;Assentamento
11;Assentamento Estadual;Assentamento Estadual;Assentamento
12;APA e ARIE Federal (UCUS);APA e ARIE Federal (UCUS);APA
13;APA e ARIE Estadual/Municipal (UCUS);APA e ARIE Estadual/Municipal (UCUS);APA
14;SIGEF_SNCI Privado_Pequeno (IR);SIGEF_SNCI Privado_Pequeno (IR);IR
15;SIGEF_SNCI Privado_Medio (IR);SIGEF_SNCI Privado_Medio (IR);IR
16;SIGEF_SNCI Privado_Grande (IR);SIGEF_SNCI Privado_Grande (IR);IR
17;FPND Federal;FPND Federal;FPND
18;FPND Estadual;FPND Estadual;FPND
19;TP Federal;TP Federal;TP Federal
100;CAR_Pequeno;CAR_Pequeno;IR
101;CAR_Pequeno_sobreposiçãoTI homologada_regularizada;TI;TI
102;CAR_Pequeno_sobreposiçãoTI outras;TI;TI
103;CAR_Pequeno_sobreposiçãoUCPI Federal;UCPI Federal;UC
104;CAR_Pequeno_sobreposiçãoUCPI Estadual;UCPI Estadual;UC
105;CAR_Pequeno_sobreposiçãoUCUS Federal;UCUS Federal;UC
106;CAR_Pequeno_sobreposiçãoUCUS Estadual/Municipal;UCUS Estadual/Municipal;UC
107;CAR_Pequeno_sobreposiçãoÁrea militar;Área militar;Área militar
108;CAR_Pequeno_sobreposiçãoQuilombos federal;Quilombos federal;Quilombo
109;CAR_Pequeno_sobreposiçãoQuilombos estadual;Quilombos estadual;Quilombo
110;CAR_Pequeno_sobreposiçãoAssentamento Federal;Assentamento Federal;Assentamento
111;CAR_Pequeno_sobreposiçãoAssentamento Estadual;Assentamento Estadual;Assentamento
112;CAR_Pequeno_sobreposiçãoAPA e ARIE Federal (UCUS);APA e ARIE Federal (UCUS);APA
