system:index,area,class_id,state,tenure,year,.geo
0_0_0,31735.873281150205,3,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,114395.01657465282,4,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,29030.760219024374,11,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,13295.85889565813,12,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,2828.4333952636557,15,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,2483.0360177246043,21,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,246.09190664062487,25,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2389.812441912833,33,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,36.955454040527336,39,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,456.61615264892396,41,51,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1271961.122942375,3,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,1920249.1305789817,4,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,149422.30311051992,11,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,757721.3458468027,12,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,19253.463334179596,15,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,62460.872627385936,21,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,1527.5989756408687,25,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,9968.941520483411,33,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,509.8584852539059,39,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,40684.55179789409,41,51,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,13066.034704889238,3,51,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,12292.554302233775,4,51,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,0.7752863342285157,11,51,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,1.5500378662109378,12,51,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,267.47829129638683,15,51,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,8.796737292480476,21,51,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,0.6889090393066406,41,51,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,13535.888514269884,3,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,37104.12439891389,4,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,69728.32092736351,11,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,2527.9837534972326,12,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,2797.375195007362,15,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,99.7286320739746,21,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,226.16807966918935,25,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,7166.537433953886,33,51,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,5.88495346069336,25,51,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,60.84226735229494,33,51,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,4499.003430481001,3,51,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,4871.971764013823,4,51,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,1.0327228637695312,11,51,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,139.19776348876854,15,51,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,166.66236931152227,21,51,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,0.086029443359375,25,51,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,1153.494086248775,3,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,5128.152507672269,4,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,8.434979339599604,11,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,125.25217286376929,15,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,519.754017413333,21,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,3.959636553955078,25,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,0.9471189331054689,30,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,0.6886358459472656,33,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_8,2.5825928649902345,41,51,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,82758.51666588773,3,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,260713.22507335892,4,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,78580.25149074748,11,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,5822.158463757327,12,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,22730.116140045204,15,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,50313.256058703475,21,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,59.15770740356443,24,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,1123.5311190551759,25,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,25.27985572509767,29,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_9,2.9276916687011734,30,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_10,2480.2714100341736,33,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_11,479.5888653930698,39,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_12,1160.494969439699,41,51,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,2085.7990449218737,3,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,14831.693135430904,4,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,16.0884359375,11,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,9.756833581542965,12,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,416.21127526855474,15,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,760.3478212951667,21,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,23.765228704833987,25,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,174.24524406127932,33,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,0.08649363403320312,39,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_9,64.3389778015137,41,51,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,4152.774781335446,3,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,3740.215088519284,4,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,5981.56948657242,11,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,0.6979233276367186,12,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,109.28060706787126,15,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,150.95913672485364,21,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,104.75045679931632,25,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,4745.834392291254,33,51,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,6470.603062164307,3,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,36261.912759435334,4,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,51.16137956542966,11,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,4747.6378747863355,12,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,369.18975587158155,15,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,2929.672894476316,21,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,170.80836026001174,24,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_7,213.22012175292923,25,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_8,476.55000408935484,33,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_9,0.6061860412597656,39,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_10,11.349841424560548,41,51,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,39866.59821119391,3,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,102702.52485053727,4,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,3464.3219432312,11,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,4495.891604547108,12,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_4,20250.790931408683,15,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_5,31523.66960750124,21,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_6,438.46751991577156,24,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_7,1865.3761233642585,25,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_8,117.16413882446285,29,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_9,25.045736492919907,30,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_10,1273.029847851562,33,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_11,2781.5892766601532,39,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_12,7457.079278649908,41,51,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,63744.832661724824,3,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,194465.10087802203,4,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2,24385.431083673124,11,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_3,9713.108950775144,12,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_4,24612.964877172883,15,51,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
